"","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","dest","air_time","distance","hour","minute"
"124",1,1,1858,-2,2056,-4,"AS","N529AS",379,"SFO",84,550,18,58
"125",1,1,1859,-1,2117,-13,"OO","N925SW",6250,"LAX",115,834,18,59
"126",1,1,1921,56,2038,48,"WN","N353SW",718,"SMF",66,479,19,21
"127",1,1,1925,90,2246,81,"WN","N493WN",1115,"PHX",129,1009,19,25
"128",1,1,1936,8,2119,-2,"UA","N402UA",995,"SFO",82,550,19,36
"129",1,1,1949,79,2117,67,"WN","N961WN",3963,"OAK",76,543,19,49
"130",1,1,1954,-10,2134,-22,"OO","N471CA",5659,"SFO",84,550,19,54
"131",1,1,2001,6,2144,10,"AS","N585AS",404,"SJC",84,569,20,1
"132",1,1,2012,-3,2219,-6,"OO","N223AG",3464,"ONT",110,838,20,12
"133",1,1,2014,-6,2328,-28,"US","N662AW",581,"PHX",120,1009,20,14
"134",1,1,2020,30,2316,18,"AS","N516AS",137,"ANC",208,1542,20,20
"135",1,1,2038,78,2348,68,"F9","N934FR",794,"DEN",114,991,20,38
"136",1,1,2043,-2,2307,1,"AS","N786AS",574,"SAN",126,933,20,43
"137",1,1,2122,-8,2327,-4,"AS","N619AS",624,"LAS",101,763,21,22
"138",1,1,2130,13,531,16,"B6","N635JB",1206,"JFK",274,2454,21,30
"139",1,1,2221,1,2308,11,"OO","N229SW",5440,"RDM",28,116,22,21
"140",1,1,2221,-4,550,-30,"US","N571UW",467,"CLT",250,2282,22,21
"141",1,1,2229,-1,2336,-5,"OO","N295SW",5437,"LMT",50,241,22,29
"142",1,1,2237,-1,623,-4,"UA","N573UA",583,"EWR",261,2434,22,37
"143",1,1,2253,8,611,4,"DL","N371DA",503,"ATL",240,2172,22,53
"144",1,1,2259,-5,442,-18,"UA","N29717",1632,"ORD",196,1739,22,59
"145",1,2,44,49,641,51,"UA","N423UA",758,"IAH",215,1825,0,44
"146",1,2,45,-10,550,-18,"DL","N924DN",1080,"MSP",168,1426,0,45
"147",1,2,57,113,628,88,"UA","N21723",1632,"ORD",196,1739,0,57
"148",1,2,151,321,310,315,"WN","N735SA",1546,"SMF",67,479,1,51
"149",1,2,516,-9,839,-16,"US","N523UW",649,"PHX",128,1009,5,16
"150",1,2,528,-2,1119,-14,"UA","N848UA",275,"IAH",213,1825,5,28
"151",1,2,552,-8,830,-18,"DL","N663DN",1831,"SLC",80,630,5,52
"152",1,2,557,-3,914,-11,"F9","N221FR",796,"DEN",117,991,5,57
"153",1,2,558,-2,733,-12,"WN","N498WN",1461,"OAK",81,543,5,58
"154",1,2,558,-2,922,-8,"WN","N776WN",1927,"PHX",129,1009,5,58
"155",1,2,606,1,1157,0,"UA","N87531",1573,"ORD",201,1739,6,6
"156",1,2,611,11,752,9,"AS","N760AS",406,"SJC",86,569,6,11
"157",1,2,614,-6,1158,-7,"AA","N4XJAA",1650,"DFW",194,1616,6,14
"158",1,2,621,46,801,35,"UA","N35260",1209,"SFO",83,550,6,21
"159",1,2,625,5,939,-6,"WN","N260WN",1111,"DEN",118,991,6,25
"160",1,2,627,-3,1350,-7,"DL","N3746H",1156,"ATL",244,2172,6,27
"161",1,2,628,48,941,34,"UA","N37462",1569,"DEN",115,991,6,28
"162",1,2,635,-5,1009,1,"AS","N536AS",646,"PHX",128,1009,6,35
"163",1,2,636,-4,854,-6,"AS","N532AS",572,"SAN",119,933,6,36
"164",1,2,637,2,1231,1,"WN","N8603F",401,"MDW",216,1751,6,37
"165",1,2,637,17,1442,11,"UA","N37466",1021,"EWR",286,2434,6,37
"166",1,2,638,-2,842,-6,"OO","N218AG",3456,"BUR",105,817,6,38
"167",1,2,642,-3,857,-11,"OO","N804SK",4692,"LAX",112,834,6,42
"168",1,2,644,-1,912,7,"AS","N703AS",560,"LAX",111,834,6,44
"169",1,2,647,17,824,8,"UA","N76503",1621,"SFO",83,550,6,47
"170",1,2,650,5,846,-4,"WN","N943WN",247,"LAS",103,763,6,50
"171",1,2,655,-5,1213,-7,"DL","N934DN",2090,"MSP",175,1426,6,55
"172",1,2,656,-4,915,-6,"AS","N622AS",582,"SNA",118,859,6,56
"173",1,2,658,-2,1051,-29,"AS","N514AS",833,"HNL",326,2603,6,58
"174",1,2,659,-6,919,-3,"B6","N524JB",1121,"LGB",113,846,6,59
"175",1,2,701,1,826,-4,"WN","N904WN",2885,"SMF",70,479,7,1
"176",1,2,702,34,1447,35,"UA","N538UA",250,"IAD",257,2327,7,2
"177",1,2,703,-2,912,-7,"OO","N219AG",3460,"ONT",109,838,7,3
"178",1,2,704,-6,1535,21,"DL","N3748Y",2258,"JFK",285,2454,7,4
"179",1,2,709,-6,912,-15,"AS","N315AS",244,"SFO",81,550,7,9
"180",1,2,710,10,907,22,"VX","N523VA",805,"SFO",86,550,7,10
"181",1,2,723,8,915,-3,"AS","N614AS",626,"LAS",100,763,7,23
"182",1,2,726,6,1124,-18,"AS","N579AS",855,"KOA",340,2607,7,26
"183",1,2,749,-1,929,-11,"WN","N762SW",373,"SJC",87,569,7,49
"184",1,2,750,5,849,9,"OO","N585SW",5379,"SEA",40,129,7,50
"185",1,2,802,-3,943,-7,"WN","N437WN",48,"OAK",86,543,8,2
"186",1,2,808,8,1020,-5,"AS","N309AS",568,"LAX",109,834,8,8
"187",1,2,810,-5,1328,-5,"DL","N950DN",2154,"MSP",173,1426,8,10
"188",1,2,834,29,1400,10,"AA","N568AA",1220,"DFW",189,1616,8,34
"189",1,2,836,11,1429,-1,"UA","N37413",1510,"IAH",215,1825,8,36
"190",1,2,843,-2,1207,-6,"US","N648AW",685,"PHX",130,1009,8,43
"191",1,2,846,1,1226,16,"WN","N366SW",103,"DEN",121,991,8,46
"192",1,2,855,5,1130,0,"WN","N614SW",223,"SLC",84,630,8,55
"193",1,2,911,-4,1246,-19,"OO","N223AG",3466,"TUS",139,1119,9,11
"194",1,2,917,-4,1012,-4,"OO","N567SW",5428,"SEA",41,129,9,17
"195",1,2,918,-2,1643,-2,"DL","N3756",1940,"ATL",249,2172,9,18
"196",1,2,922,-3,1811,36,"AS","N526AS",30,"BOS",290,2537,9,22
"197",1,2,929,-1,1122,-1,"OO","N764SK",5196,"SFO",81,550,9,29
"198",1,2,945,-5,1730,-5,"AS","N552AS",752,"ATL",255,2172,9,45
"199",1,2,946,-4,1234,-24,"AS","N306AS",131,"ANC",215,1542,9,46
"200",1,2,949,-6,1732,-8,"AS","N516AS",764,"DCA",268,2350,9,49
"201",1,2,1001,-4,1222,-1,"AS","N619AS",580,"SNA",120,859,10,1
"202",1,2,1014,-1,1244,-12,"DL","N327NB",2189,"SLC",79,630,10,14
"203",1,2,1017,2,1545,-19,"AS","N565AS",658,"DFW",190,1616,10,17
"204",1,2,1026,11,1426,6,"HA","N383HA",25,"HNL",335,2603,10,26
"205",1,2,1028,-2,1358,1,"AS","N779AS",640,"PHX",132,1009,10,28
"206",1,2,1034,5,1304,6,"OO","N929SW",6518,"LAX",116,834,10,34
"207",1,2,1040,0,1357,-3,"F9","N935FR",788,"DEN",121,991,10,40
"208",1,2,1051,0,1234,-5,"OO","N947SW",5243,"SFO",86,550,10,51
"209",1,2,1056,-4,1305,-8,"AS","N760AS",564,"LAX",113,834,10,56
"210",1,2,1100,10,1613,8,"WN","N904WN",899,"MCI",179,1482,11,0
"211",1,2,1101,1,1427,-3,"WN","N358SW",1537,"PHX",133,1009,11,1
"212",1,2,1105,-2,1151,-11,"OO","N229SW",5397,"SEA",37,129,11,5
"213",1,2,1119,-6,1437,-17,"US","N820AW",634,"PHX",125,1009,11,19
"214",1,2,1125,5,1508,-27,"AS","N581AS",809,"OGG",330,2562,11,25
"215",1,2,1126,-4,1340,-11,"AS","N586AS",578,"SAN",122,933,11,26
"216",1,2,1138,8,1335,0,"WN","N7744A",359,"LAS",105,763,11,38
"217",1,2,1141,-1,1226,4,"OO","N585SW",5438,"EUG",29,106,11,41
"218",1,2,1151,5,1356,-5,"B6","N625JB",1521,"LGB",113,846,11,51
"219",1,2,1155,-1,1233,-5,"OO","N567SW",5325,"RDM",26,116,11,55
"220",1,2,1157,-8,1334,-16,"VX","N528VA",817,"SFO",88,550,11,57
"221",1,2,1159,33,1758,38,"UA","N821UA",646,"ORD",200,1739,11,59
"222",1,2,1203,48,1515,40,"WN","N761RR",3042,"DEN",120,991,12,3
"223",1,2,1206,20,1921,34,"DL","N807DN",1466,"DTW",234,1953,12,6
"224",1,2,1212,-3,1422,1,"OO","N218AG",3454,"BUR",108,817,12,12
"225",1,2,1217,27,1441,31,"OO","N617QX",4469,"LAX",108,834,12,17
"226",1,2,1229,19,1806,11,"AA","N4WJAA",1568,"DFW",189,1616,12,29
"227",1,2,1231,61,1548,44,"OO","N957SW",5576,"DEN",115,991,12,31
"228",1,2,1233,23,1415,20,"WN","N908WN",3252,"SJC",87,569,12,33
"229",1,2,1236,3,1425,-1,"UA","N488UA",353,"SFO",84,550,12,36
"230",1,2,1239,14,1418,8,"WN","N642WN",426,"OAK",79,543,12,39
"231",1,2,1246,51,1412,52,"WN","N641SW",361,"SMF",72,479,12,46
"232",1,2,1252,-3,1452,-5,"AS","N644AS",622,"LAS",102,763,12,52
"233",1,2,1254,164,1907,181,"AS","N615AS",686,"ORD",203,1739,12,54
"234",1,2,1255,-5,1803,-16,"DL","N901DA",2164,"MSP",171,1426,12,55
"235",1,2,1300,10,1448,8,"AS","N614AS",388,"SFO",86,550,13,0
"236",1,2,1311,-4,1523,-7,"OO","N219AG",3478,"LGB",119,846,13,11
"237",1,2,1314,-6,1550,-12,"DL","N374DA",2093,"SLC",81,630,13,14
"238",1,2,1320,78,1909,64,"UA","N479UA",277,"IAH",212,1825,13,20
"239",1,2,1321,76,1646,71,"WN","N660SW",3518,"ABQ",132,1111,13,21
"240",1,2,1332,7,2048,-5,"DL","N804DN",773,"ATL",239,2172,13,32
"241",1,2,1336,-5,1420,-14,"OO","N229SW",5423,"SEA",37,129,13,36
"242",1,2,1337,17,1529,4,"WN","N219WN",425,"LAS",101,763,13,37
"243",1,2,1339,4,1513,-2,"WN","N939WN",578,"OAK",82,543,13,39
"244",1,2,1409,37,1544,19,"UA","N492UA",367,"SFO",79,550,14,9
"245",1,2,1434,33,2054,59,"UA","N66803",1610,"ORD",198,1739,14,34
"246",1,2,1448,-4,1700,-10,"OO","N608SK",4556,"LAX",115,834,14,48
"247",1,2,1452,87,2039,64,"AA","N3KSAA",115,"ORD",203,1739,14,52
"248",1,2,1455,0,1706,-5,"AS","N536AS",570,"LAX",112,834,14,55
"249",1,2,1505,55,1644,49,"WN","N281WN",3255,"SJC",86,569,15,5
"250",1,2,1509,-6,2008,-23,"DL","N946DN",2430,"MSP",165,1426,15,9
"251",1,2,1514,-1,1832,-13,"US","N667AW",500,"PHX",127,1009,15,14
"252",1,2,1520,25,1835,15,"WN","N480WN",735,"DEN",122,991,15,20
"253",1,2,1520,-10,1558,-14,"OO","N585SW",5331,"RDM",26,116,15,20
"254",1,2,1530,40,1845,35,"F9","N216FR",792,"DEN",120,991,15,30
"255",1,2,1533,-2,2126,16,"AA","N4XMAA",157,"DFW",193,1616,15,33
"256",1,2,1534,7,1711,-2,"UA","N839UA",468,"SFO",84,550,15,34
"257",1,2,1546,-4,1759,-6,"AS","N611AS",592,"SNA",119,859,15,46
"258",1,2,1557,7,1815,9,"AS","N794AS",588,"PSP",119,873,15,57
"259",1,2,1609,0,1710,8,"OO","N294SW",5404,"SEA",43,129,16,9
"260",1,2,1622,-8,1804,-5,"AS","N619AS",402,"SJC",89,569,16,22
"261",1,2,1622,-3,1825,-10,"OO","N223AG",3462,"ONT",108,838,16,22
"262",1,2,1633,23,1826,11,"WN","N748SW",750,"LAS",100,763,16,33
"263",1,2,1634,-4,1911,-9,"DL","N323NB",1194,"SLC",83,630,16,34
"264",1,2,1643,84,2003,77,"UA","N18243",1051,"DEN",118,991,16,43
"265",1,2,1645,20,1845,10,"OO","N216AG",3494,"SBA",101,784,16,45
"266",1,2,1658,48,1931,41,"WN","N294WN",20,"SLC",81,630,16,58
"267",1,2,1715,-5,1928,-10,"OO","N692CA",4684,"LAX",110,834,17,15
"268",1,2,1735,-1,1830,1,"OO","N229SW",5417,"SEA",39,129,17,35
"269",1,2,1739,-6,1950,-11,"AS","N779AS",562,"LAX",112,834,17,39
"270",1,2,1741,-4,1946,-5,"OO","N218AG",3488,"BUR",108,817,17,41
"271",1,2,1742,-6,1920,-20,"OO","N905SW",5553,"SFO",84,550,17,42
"272",1,2,1754,-6,2111,-19,"US","N664AW",577,"PHX",127,1009,17,54
"273",1,2,1756,-4,1934,-11,"VX","N528VA",813,"SFO",83,550,17,56
"274",1,2,1756,61,1916,56,"WN","N659SW",747,"SMF",69,479,17,56
"275",1,2,1806,0,2123,-10,"UA","N577UA",550,"DEN",120,991,18,6
"276",1,2,1819,-5,2028,-11,"B6","N554JB",1621,"LGB",112,846,18,19
"277",1,2,1821,-4,2057,-12,"DL","N337NB",952,"SLC",82,630,18,21
"278",1,2,1831,-9,2225,-30,"AS","N586AS",863,"OGG",339,2562,18,31
"279",1,2,1836,41,1943,28,"WN","N963WN",102,"RNO",58,444,18,36
"280",1,2,1842,-13,2038,-16,"AS","N644AS",620,"LAS",102,763,18,42
"281",1,2,1849,19,2021,11,"WN","N950WN",3963,"OAK",78,543,18,49
"282",1,2,1855,-5,2103,3,"AS","N769AS",379,"SFO",85,550,18,55
"283",1,2,1855,-5,2113,-17,"OO","N932SW",6250,"LAX",114,834,18,55
"284",1,2,1906,41,2046,56,"WN","N724SW",718,"SMF",65,479,19,6
"285",1,2,1910,40,2047,37,"WN","N647SW",2448,"SJC",87,569,19,10
"286",1,2,1920,-7,2015,-5,"OO","N585SW",5305,"SEA",40,129,19,20
"287",1,2,1929,9,2246,6,"F9","N904FR",794,"DEN",119,991,19,29
"288",1,2,1939,169,2112,162,"WN","N751SW",658,"OAK",81,543,19,39
"289",1,2,1940,-2,2027,5,"OO","N294SW",5403,"EUG",33,106,19,40
"290",1,2,1949,-6,2128,-6,"AS","N797AS",404,"SJC",85,569,19,49
"291",1,2,2009,-11,2331,-25,"US","N659AW",581,"PHX",126,1009,20,9
"292",1,2,2011,21,2320,22,"AS","N594AS",137,"ANC",230,1542,20,11
"293",1,2,2013,-2,2216,-9,"OO","N215AG",3464,"ONT",107,838,20,13
"294",1,2,2015,11,2201,8,"OO","N712SK",5210,"SFO",85,550,20,15
"295",1,2,2034,34,2354,24,"WN","N253WN",183,"PHX",126,1009,20,34
"296",1,2,2034,66,2213,52,"UA","N438UA",369,"SFO",83,550,20,34
"297",1,2,2217,-8,126,1,"AS","N590AS",145,"ANC",232,1542,22,17
"298",1,2,2217,-3,2252,-5,"OO","N229SW",5440,"RDM",28,116,22,17
"299",1,2,2218,-7,553,-27,"US","N570UW",467,"CLT",257,2282,22,18
"300",1,2,2222,-3,2308,3,"OO","N294SW",5353,"EUG",32,106,22,22
"301",1,2,2226,-4,2331,-10,"OO","N585SW",5437,"LMT",51,241,22,26
"302",1,2,2319,34,634,27,"DL","N807DN",503,"ATL",243,2172,23,19
"303",1,2,2339,129,140,129,"AS","N611AS",624,"LAS",102,763,23,39
"304",1,3,51,56,626,36,"UA","N498UA",758,"IAH",199,1825,0,51
"305",1,3,55,0,554,-11,"DL","N584NW",1679,"MSP",161,1426,0,55
"306",1,3,517,-8,840,-15,"US","N828AW",649,"PHX",123,1009,5,17
"307",1,3,527,-3,1122,-11,"UA","N844UA",275,"IAH",216,1825,5,27
"308",1,3,533,-2,721,-5,"UA","N36272",1209,"SFO",83,550,5,33
"309",1,3,540,0,853,-14,"UA","N38417",1569,"DEN",115,991,5,40
"310",1,3,550,-10,904,-21,"F9","N221FR",796,"DEN",117,991,5,50
"311",1,3,551,-9,734,-9,"AS","N703AS",406,"SJC",81,569,5,51
"312",1,3,556,-4,855,7,"DL","N652DL",1831,"SLC",94,630,5,56
"313",1,3,559,-1,737,-8,"WN","N764SW",1461,"OAK",79,543,5,59
"314",1,3,600,0,921,-9,"WN","N268WN",1927,"PHX",125,1009,6,0
"315",1,3,601,-4,1135,-22,"UA","N87507",1573,"ORD",193,1739,6,1
"316",1,3,617,-3,1143,-22,"AA","N4YLAA",1650,"DFW",189,1616,6,17
"317",1,3,626,-4,1350,-7,"DL","N3738B",1156,"ATL",248,2172,6,26
"318",1,3,629,-11,957,-11,"AS","N754AS",646,"PHX",127,1009,6,29
"319",1,3,629,-1,811,-5,"UA","N77258",1621,"SFO",83,550,6,29
"320",1,3,630,-10,836,-12,"OO","N218AG",3456,"BUR",102,817,6,30
"321",1,3,637,-3,853,-10,"AS","N315AS",232,"SAN",115,933,6,37
"322",1,3,637,-8,931,23,"OO","N814SK",4692,"LAX",110,834,6,37
"323",1,3,637,9,1421,9,"UA","N553UA",250,"IAD",258,2327,6,37
"324",1,3,644,-1,842,-8,"WN","N723SW",247,"LAS",102,763,6,44
"325",1,3,650,-10,826,-19,"VX","N528VA",805,"SFO",82,550,6,50
"326",1,3,653,-7,912,-9,"AS","N644AS",582,"SNA",114,859,6,53
"327",1,3,656,-4,1156,-24,"DL","N940DN",2090,"MSP",161,1426,6,56
"328",1,3,659,-1,1232,-38,"AA","N3JJAA",2218,"ORD",194,1739,6,59
