"","year","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","origin","dest","air_time","distance","hour","minute"
"44",2014,1,1,1005,-5,1608,2,"AS","N619AS",686,"PDX","ORD",222,1739,10,5
"45",2014,1,1,1011,-4,1535,-29,"AS","N585AS",658,"PDX","DFW",178,1616,10,11
"46",2014,1,1,1014,-1,1357,-23,"HA","N386HA",25,"PDX","HNL",324,2603,10,14
"47",2014,1,1,1021,-9,1347,-10,"AS","N318AS",640,"PDX","PHX",126,1009,10,21
"48",2014,1,1,1023,-7,1407,-38,"AS","N589AS",803,"PDX","LIH",331,2631,10,23
"49",2014,1,1,1027,-2,1242,-16,"OO","N982SW",6518,"PDX","LAX",115,834,10,27
"50",2014,1,1,1036,81,1408,63,"OO","N218AG",3466,"PDX","TUS",134,1119,10,36
"51",2014,1,1,1043,-8,1226,-13,"OO","N937SW",5243,"PDX","SFO",87,550,10,43
"52",2014,1,1,1045,40,1303,40,"AS","N614AS",580,"PDX","SNA",123,859,10,45
"53",2014,1,1,1052,2,1603,-2,"WN","N756SA",899,"PDX","MCI",174,1482,10,52
"54",2014,1,1,1054,94,1807,84,"DL","N377DA",1502,"PDX","ATL",237,2172,10,54
"55",2014,1,1,1055,-5,1312,-1,"AS","N796AS",564,"PDX","LAX",115,834,10,55
"56",2014,1,1,1059,44,1325,32,"DL","N335NB",2189,"PDX","SLC",75,630,10,59
"57",2014,1,1,1102,2,1425,-5,"WN","N697SW",1537,"PDX","PHX",127,1009,11,2
"58",2014,1,1,1113,-2,1427,-8,"WN","N293WN",3042,"PDX","DEN",121,991,11,13
"59",2014,1,1,1117,37,1436,36,"F9","N221FR",788,"PDX","DEN",121,991,11,17
"60",2014,1,1,1123,-2,1442,-12,"US","N803AW",634,"PDX","PHX",121,1009,11,23
"61",2014,1,1,1130,0,1324,-11,"WN","N726SW",4444,"PDX","LAS",103,763,11,30
"62",2014,1,1,1132,-8,1839,0,"DL","N374DA",2123,"PDX","DTW",219,1953,11,32
"63",2014,1,1,1147,17,1415,24,"AS","N565AS",578,"PDX","SAN",119,933,11,47
"64",2014,1,1,1148,-2,1411,1,"OO","N625CA",4469,"PDX","LAX",116,834,11,48
"65",2014,1,1,1150,4,1400,-1,"B6","N789JB",1521,"PDX","LGB",115,846,11,50
"66",2014,1,1,1156,1,1315,-5,"WN","N774SW",361,"PDX","SMF",67,479,11,56
"67",2014,1,1,1156,0,1235,-3,"OO","N237SW",5325,"PDX","RDM",27,116,11,56
"68",2014,1,1,1158,16,1241,19,"OO","N295SW",5438,"PDX","EUG",27,106,11,58
"69",2014,1,1,1201,-4,1340,-10,"VX","N523VA",817,"PDX","SFO",85,550,12,1
"70",2014,1,1,1201,-1,1816,11,"UA","N424UA",277,"PDX","IAH",212,1825,12,1
"71",2014,1,1,1209,-6,1417,-4,"OO","N219AG",3454,"PDX","BUR",109,817,12,9
"72",2014,1,1,1215,5,1353,-2,"WN","N615SW",1049,"PDX","SJC",86,569,12,15
"73",2014,1,1,1220,15,1544,9,"WN","N613SW",3518,"PDX","ABQ",132,1111,12,20
"74",2014,1,1,1223,57,1814,54,"UA","N470UA",646,"PDX","ORD",201,1739,12,23
"75",2014,1,1,1231,21,1822,27,"AA","N4YRAA",1568,"PDX","DFW",194,1616,12,31
"76",2014,1,1,1238,78,1614,39,"AS","N560AS",809,"PDX","OGG",322,2562,12,38
"77",2014,1,1,1238,68,1606,62,"OO","N947SW",5576,"PDX","DEN",126,991,12,38
"78",2014,1,1,1243,-7,1440,0,"AS","N607AS",388,"PDX","SFO",86,550,12,43
"79",2014,1,1,1245,-10,1454,-3,"AS","N622AS",622,"PDX","LAS",105,763,12,45
"80",2014,1,1,1245,98,1345,103,"OO","N229SW",5397,"PDX","SEA",40,129,12,45
"81",2014,1,1,1253,-7,1808,-8,"DL","N964DN",2164,"PDX","MSP",174,1426,12,53
"82",2014,1,1,1255,30,1434,24,"WN","N383SW",806,"PDX","OAK",81,543,12,55
"83",2014,1,1,1258,25,1438,12,"UA","N464UA",353,"PDX","SFO",81,550,12,58
"84",2014,1,1,1310,-5,1523,-7,"OO","N223AG",3478,"PDX","LGB",117,846,13,10
"85",2014,1,1,1314,-6,1547,-13,"DL","N355NW",2093,"PDX","SLC",77,630,13,14
"86",2014,1,1,1323,-2,2038,-15,"DL","N393DA",773,"PDX","ATL",235,2172,13,23
"87",2014,1,1,1325,5,1518,-7,"WN","N444WN",425,"PDX","LAS",103,763,13,25
"88",2014,1,1,1326,-6,1509,-16,"UA","N832UA",367,"PDX","SFO",86,550,13,26
"89",2014,1,1,1340,-5,1452,-13,"WN","N436WN",103,"PDX","RNO",59,444,13,40
"90",2014,1,1,1422,57,2047,72,"AA","N3DPAA",115,"PDX","ORD",200,1739,14,22
"91",2014,1,1,1450,49,2101,66,"UA","N69806",1584,"PDX","ORD",198,1739,14,50
"92",2014,1,1,1453,-2,1702,-9,"AS","N508AS",570,"PDX","LAX",111,834,14,53
"93",2014,1,1,1500,50,1633,38,"WN","N217JC",3255,"PDX","SJC",84,569,15,0
"94",2014,1,1,1517,96,1612,98,"OO","N229SW",5423,"PDX","SEA",40,129,15,17
"95",2014,1,1,1520,1,1848,2,"UA","N75429",1051,"PDX","DEN",127,991,15,20
"96",2014,1,1,1531,36,1906,46,"WN","N761RR",786,"PDX","DEN",127,991,15,31
"97",2014,1,1,1543,-7,1813,8,"AS","N615AS",592,"PDX","SNA",121,859,15,43
"98",2014,1,1,1545,10,2114,4,"AA","N565AA",157,"PDX","DFW",180,1616,15,45
"99",2014,1,1,1545,15,1621,9,"OO","N295SW",5331,"PDX","RDM",25,116,15,45
"100",2014,1,1,1554,64,1905,55,"F9","N202FR",792,"PDX","DEN",118,991,15,54
"101",2014,1,1,1554,39,1912,27,"US","N631AW",500,"PDX","PHX",123,1009,15,54
"102",2014,1,1,1627,17,1854,4,"WN","N784SW",20,"PDX","SLC",79,630,16,27
"103",2014,1,1,1629,4,1834,-1,"OO","N215AG",3494,"PDX","SBA",105,784,16,29
"104",2014,1,1,1633,43,1849,43,"AS","N788AS",588,"PDX","PSP",118,873,16,33
"105",2014,1,1,1637,2,1915,-5,"OO","N823SK",4520,"PDX","SLC",78,630,16,37
"106",2014,1,1,1638,8,1824,15,"AS","N614AS",402,"PDX","SJC",86,569,16,38
"107",2014,1,1,1712,47,1913,38,"OO","N218AG",3462,"PDX","ONT",109,838,17,12
"108",2014,1,1,1720,0,1932,-6,"OO","N815SK",4684,"PDX","LAX",112,834,17,20
"109",2014,1,1,1728,78,1926,71,"WN","N472WN",839,"PDX","LAS",105,763,17,28
"110",2014,1,1,1741,-4,1953,-8,"AS","N318AS",562,"PDX","LAX",109,834,17,41
"111",2014,1,1,1743,-2,1949,-2,"OO","N219AG",3488,"PDX","BUR",111,817,17,43
"112",2014,1,1,1744,8,1842,13,"OO","N229SW",5417,"PDX","SEA",36,129,17,44
"113",2014,1,1,1751,144,1928,135,"UA","N802UA",212,"PDX","SFO",81,550,17,51
"114",2014,1,1,1756,-4,2118,-12,"US","N655AW",577,"PDX","PHX",127,1009,17,56
"115",2014,1,1,1759,-1,1934,-11,"VX","N523VA",813,"PDX","SFO",80,550,17,59
"116",2014,1,1,1807,19,1951,11,"OO","N938SW",5553,"PDX","SFO",82,550,18,7
"117",2014,1,1,1808,73,1930,70,"WN","N367SW",747,"PDX","SMF",69,479,18,8
"118",2014,1,1,1819,-5,2025,-14,"B6","N662JB",1621,"PDX","LGB",113,846,18,19
"119",2014,1,1,1821,15,2135,2,"UA","N524UA",550,"PDX","DEN",111,991,18,21
"120",2014,1,1,1829,-11,2222,-33,"AS","N565AS",863,"PDX","OGG",329,2562,18,29
"121",2014,1,1,1835,105,2015,105,"WN","N389SW",568,"PDX","OAK",87,543,18,35
"122",2014,1,1,1851,-4,2052,-2,"AS","N622AS",620,"PDX","LAS",103,763,18,51
"123",2014,1,1,1851,21,2029,19,"WN","N380SW",348,"PDX","SJC",87,569,18,51
"124",2014,1,1,1858,-2,2056,-4,"AS","N529AS",379,"PDX","SFO",84,550,18,58
"125",2014,1,1,1859,-1,2117,-13,"OO","N925SW",6250,"PDX","LAX",115,834,18,59
"126",2014,1,1,1921,56,2038,48,"WN","N353SW",718,"PDX","SMF",66,479,19,21
"127",2014,1,1,1925,90,2246,81,"WN","N493WN",1115,"PDX","PHX",129,1009,19,25
"128",2014,1,1,1936,8,2119,-2,"UA","N402UA",995,"PDX","SFO",82,550,19,36
"129",2014,1,1,1949,79,2117,67,"WN","N961WN",3963,"PDX","OAK",76,543,19,49
"130",2014,1,1,1954,-10,2134,-22,"OO","N471CA",5659,"PDX","SFO",84,550,19,54
"131",2014,1,1,2001,6,2144,10,"AS","N585AS",404,"PDX","SJC",84,569,20,1
"132",2014,1,1,2012,-3,2219,-6,"OO","N223AG",3464,"PDX","ONT",110,838,20,12
"133",2014,1,1,2014,-6,2328,-28,"US","N662AW",581,"PDX","PHX",120,1009,20,14
"134",2014,1,1,2020,30,2316,18,"AS","N516AS",137,"PDX","ANC",208,1542,20,20
"135",2014,1,1,2038,78,2348,68,"F9","N934FR",794,"PDX","DEN",114,991,20,38
"136",2014,1,1,2043,-2,2307,1,"AS","N786AS",574,"PDX","SAN",126,933,20,43
"137",2014,1,1,2122,-8,2327,-4,"AS","N619AS",624,"PDX","LAS",101,763,21,22
"138",2014,1,1,2130,13,531,16,"B6","N635JB",1206,"PDX","JFK",274,2454,21,30
"139",2014,1,1,2221,1,2308,11,"OO","N229SW",5440,"PDX","RDM",28,116,22,21
"140",2014,1,1,2221,-4,550,-30,"US","N571UW",467,"PDX","CLT",250,2282,22,21
"141",2014,1,1,2229,-1,2336,-5,"OO","N295SW",5437,"PDX","LMT",50,241,22,29
"142",2014,1,1,2237,-1,623,-4,"UA","N573UA",583,"PDX","EWR",261,2434,22,37
"143",2014,1,1,2253,8,611,4,"DL","N371DA",503,"PDX","ATL",240,2172,22,53
"144",2014,1,1,2259,-5,442,-18,"UA","N29717",1632,"PDX","ORD",196,1739,22,59
"145",2014,1,2,44,49,641,51,"UA","N423UA",758,"PDX","IAH",215,1825,0,44
"146",2014,1,2,45,-10,550,-18,"DL","N924DN",1080,"PDX","MSP",168,1426,0,45
"147",2014,1,2,57,113,628,88,"UA","N21723",1632,"PDX","ORD",196,1739,0,57
"148",2014,1,2,151,321,310,315,"WN","N735SA",1546,"PDX","SMF",67,479,1,51
"149",2014,1,2,516,-9,839,-16,"US","N523UW",649,"PDX","PHX",128,1009,5,16
"150",2014,1,2,528,-2,1119,-14,"UA","N848UA",275,"PDX","IAH",213,1825,5,28
"151",2014,1,2,552,-8,830,-18,"DL","N663DN",1831,"PDX","SLC",80,630,5,52
"152",2014,1,2,557,-3,914,-11,"F9","N221FR",796,"PDX","DEN",117,991,5,57
"153",2014,1,2,558,-2,733,-12,"WN","N498WN",1461,"PDX","OAK",81,543,5,58
"154",2014,1,2,558,-2,922,-8,"WN","N776WN",1927,"PDX","PHX",129,1009,5,58
"155",2014,1,2,606,1,1157,0,"UA","N87531",1573,"PDX","ORD",201,1739,6,6
"156",2014,1,2,611,11,752,9,"AS","N760AS",406,"PDX","SJC",86,569,6,11
"157",2014,1,2,614,-6,1158,-7,"AA","N4XJAA",1650,"PDX","DFW",194,1616,6,14
"158",2014,1,2,621,46,801,35,"UA","N35260",1209,"PDX","SFO",83,550,6,21
"159",2014,1,2,625,5,939,-6,"WN","N260WN",1111,"PDX","DEN",118,991,6,25
"160",2014,1,2,627,-3,1350,-7,"DL","N3746H",1156,"PDX","ATL",244,2172,6,27
"161",2014,1,2,628,48,941,34,"UA","N37462",1569,"PDX","DEN",115,991,6,28
"162",2014,1,2,635,-5,1009,1,"AS","N536AS",646,"PDX","PHX",128,1009,6,35
"163",2014,1,2,636,-4,854,-6,"AS","N532AS",572,"PDX","SAN",119,933,6,36
"164",2014,1,2,637,2,1231,1,"WN","N8603F",401,"PDX","MDW",216,1751,6,37
"165",2014,1,2,637,17,1442,11,"UA","N37466",1021,"PDX","EWR",286,2434,6,37
"166",2014,1,2,638,-2,842,-6,"OO","N218AG",3456,"PDX","BUR",105,817,6,38
"167",2014,1,2,642,-3,857,-11,"OO","N804SK",4692,"PDX","LAX",112,834,6,42
"168",2014,1,2,644,-1,912,7,"AS","N703AS",560,"PDX","LAX",111,834,6,44
"169",2014,1,2,647,17,824,8,"UA","N76503",1621,"PDX","SFO",83,550,6,47
"170",2014,1,2,650,5,846,-4,"WN","N943WN",247,"PDX","LAS",103,763,6,50
"171",2014,1,2,655,-5,1213,-7,"DL","N934DN",2090,"PDX","MSP",175,1426,6,55
"172",2014,1,2,656,-4,915,-6,"AS","N622AS",582,"PDX","SNA",118,859,6,56
"173",2014,1,2,658,-2,1051,-29,"AS","N514AS",833,"PDX","HNL",326,2603,6,58
"174",2014,1,2,659,-6,919,-3,"B6","N524JB",1121,"PDX","LGB",113,846,6,59
"175",2014,1,2,701,1,826,-4,"WN","N904WN",2885,"PDX","SMF",70,479,7,1
"176",2014,1,2,702,34,1447,35,"UA","N538UA",250,"PDX","IAD",257,2327,7,2
"177",2014,1,2,703,-2,912,-7,"OO","N219AG",3460,"PDX","ONT",109,838,7,3
"178",2014,1,2,704,-6,1535,21,"DL","N3748Y",2258,"PDX","JFK",285,2454,7,4
"179",2014,1,2,709,-6,912,-15,"AS","N315AS",244,"PDX","SFO",81,550,7,9
"180",2014,1,2,710,10,907,22,"VX","N523VA",805,"PDX","SFO",86,550,7,10
"181",2014,1,2,723,8,915,-3,"AS","N614AS",626,"PDX","LAS",100,763,7,23
"182",2014,1,2,726,6,1124,-18,"AS","N579AS",855,"PDX","KOA",340,2607,7,26
"183",2014,1,2,749,-1,929,-11,"WN","N762SW",373,"PDX","SJC",87,569,7,49
"184",2014,1,2,750,5,849,9,"OO","N585SW",5379,"PDX","SEA",40,129,7,50
"185",2014,1,2,802,-3,943,-7,"WN","N437WN",48,"PDX","OAK",86,543,8,2
"186",2014,1,2,808,8,1020,-5,"AS","N309AS",568,"PDX","LAX",109,834,8,8
"187",2014,1,2,810,-5,1328,-5,"DL","N950DN",2154,"PDX","MSP",173,1426,8,10
"188",2014,1,2,834,29,1400,10,"AA","N568AA",1220,"PDX","DFW",189,1616,8,34
"189",2014,1,2,836,11,1429,-1,"UA","N37413",1510,"PDX","IAH",215,1825,8,36
"190",2014,1,2,843,-2,1207,-6,"US","N648AW",685,"PDX","PHX",130,1009,8,43
"191",2014,1,2,846,1,1226,16,"WN","N366SW",103,"PDX","DEN",121,991,8,46
"192",2014,1,2,855,5,1130,0,"WN","N614SW",223,"PDX","SLC",84,630,8,55
"193",2014,1,2,911,-4,1246,-19,"OO","N223AG",3466,"PDX","TUS",139,1119,9,11
"194",2014,1,2,917,-4,1012,-4,"OO","N567SW",5428,"PDX","SEA",41,129,9,17
"195",2014,1,2,918,-2,1643,-2,"DL","N3756",1940,"PDX","ATL",249,2172,9,18
"196",2014,1,2,922,-3,1811,36,"AS","N526AS",30,"PDX","BOS",290,2537,9,22
"197",2014,1,2,929,-1,1122,-1,"OO","N764SK",5196,"PDX","SFO",81,550,9,29
"198",2014,1,2,945,-5,1730,-5,"AS","N552AS",752,"PDX","ATL",255,2172,9,45
"199",2014,1,2,946,-4,1234,-24,"AS","N306AS",131,"PDX","ANC",215,1542,9,46
"200",2014,1,2,949,-6,1732,-8,"AS","N516AS",764,"PDX","DCA",268,2350,9,49
"201",2014,1,2,1001,-4,1222,-1,"AS","N619AS",580,"PDX","SNA",120,859,10,1
"202",2014,1,2,1014,-1,1244,-12,"DL","N327NB",2189,"PDX","SLC",79,630,10,14
"203",2014,1,2,1017,2,1545,-19,"AS","N565AS",658,"PDX","DFW",190,1616,10,17
"204",2014,1,2,1026,11,1426,6,"HA","N383HA",25,"PDX","HNL",335,2603,10,26
"205",2014,1,2,1028,-2,1358,1,"AS","N779AS",640,"PDX","PHX",132,1009,10,28
"206",2014,1,2,1034,5,1304,6,"OO","N929SW",6518,"PDX","LAX",116,834,10,34
"207",2014,1,2,1040,0,1357,-3,"F9","N935FR",788,"PDX","DEN",121,991,10,40
"208",2014,1,2,1051,0,1234,-5,"OO","N947SW",5243,"PDX","SFO",86,550,10,51
"209",2014,1,2,1056,-4,1305,-8,"AS","N760AS",564,"PDX","LAX",113,834,10,56
"210",2014,1,2,1100,10,1613,8,"WN","N904WN",899,"PDX","MCI",179,1482,11,0
"211",2014,1,2,1101,1,1427,-3,"WN","N358SW",1537,"PDX","PHX",133,1009,11,1
"212",2014,1,2,1105,-2,1151,-11,"OO","N229SW",5397,"PDX","SEA",37,129,11,5
"213",2014,1,2,1119,-6,1437,-17,"US","N820AW",634,"PDX","PHX",125,1009,11,19
"214",2014,1,2,1125,5,1508,-27,"AS","N581AS",809,"PDX","OGG",330,2562,11,25
"215",2014,1,2,1126,-4,1340,-11,"AS","N586AS",578,"PDX","SAN",122,933,11,26
"216",2014,1,2,1138,8,1335,0,"WN","N7744A",359,"PDX","LAS",105,763,11,38
"217",2014,1,2,1141,-1,1226,4,"OO","N585SW",5438,"PDX","EUG",29,106,11,41
"218",2014,1,2,1151,5,1356,-5,"B6","N625JB",1521,"PDX","LGB",113,846,11,51
"219",2014,1,2,1155,-1,1233,-5,"OO","N567SW",5325,"PDX","RDM",26,116,11,55
"220",2014,1,2,1157,-8,1334,-16,"VX","N528VA",817,"PDX","SFO",88,550,11,57
"221",2014,1,2,1159,33,1758,38,"UA","N821UA",646,"PDX","ORD",200,1739,11,59
"222",2014,1,2,1203,48,1515,40,"WN","N761RR",3042,"PDX","DEN",120,991,12,3
"223",2014,1,2,1206,20,1921,34,"DL","N807DN",1466,"PDX","DTW",234,1953,12,6
"224",2014,1,2,1212,-3,1422,1,"OO","N218AG",3454,"PDX","BUR",108,817,12,12
"225",2014,1,2,1217,27,1441,31,"OO","N617QX",4469,"PDX","LAX",108,834,12,17
"226",2014,1,2,1229,19,1806,11,"AA","N4WJAA",1568,"PDX","DFW",189,1616,12,29
"227",2014,1,2,1231,61,1548,44,"OO","N957SW",5576,"PDX","DEN",115,991,12,31
"228",2014,1,2,1233,23,1415,20,"WN","N908WN",3252,"PDX","SJC",87,569,12,33
"229",2014,1,2,1236,3,1425,-1,"UA","N488UA",353,"PDX","SFO",84,550,12,36
"230",2014,1,2,1239,14,1418,8,"WN","N642WN",426,"PDX","OAK",79,543,12,39
"231",2014,1,2,1246,51,1412,52,"WN","N641SW",361,"PDX","SMF",72,479,12,46
"232",2014,1,2,1252,-3,1452,-5,"AS","N644AS",622,"PDX","LAS",102,763,12,52
"233",2014,1,2,1254,164,1907,181,"AS","N615AS",686,"PDX","ORD",203,1739,12,54
"234",2014,1,2,1255,-5,1803,-16,"DL","N901DA",2164,"PDX","MSP",171,1426,12,55
"235",2014,1,2,1300,10,1448,8,"AS","N614AS",388,"PDX","SFO",86,550,13,0
"236",2014,1,2,1311,-4,1523,-7,"OO","N219AG",3478,"PDX","LGB",119,846,13,11
"237",2014,1,2,1314,-6,1550,-12,"DL","N374DA",2093,"PDX","SLC",81,630,13,14
"238",2014,1,2,1320,78,1909,64,"UA","N479UA",277,"PDX","IAH",212,1825,13,20
"239",2014,1,2,1321,76,1646,71,"WN","N660SW",3518,"PDX","ABQ",132,1111,13,21
"240",2014,1,2,1332,7,2048,-5,"DL","N804DN",773,"PDX","ATL",239,2172,13,32
"241",2014,1,2,1336,-5,1420,-14,"OO","N229SW",5423,"PDX","SEA",37,129,13,36
"242",2014,1,2,1337,17,1529,4,"WN","N219WN",425,"PDX","LAS",101,763,13,37
"243",2014,1,2,1339,4,1513,-2,"WN","N939WN",578,"PDX","OAK",82,543,13,39
"244",2014,1,2,1409,37,1544,19,"UA","N492UA",367,"PDX","SFO",79,550,14,9
"245",2014,1,2,1434,33,2054,59,"UA","N66803",1610,"PDX","ORD",198,1739,14,34
"246",2014,1,2,1448,-4,1700,-10,"OO","N608SK",4556,"PDX","LAX",115,834,14,48
"247",2014,1,2,1452,87,2039,64,"AA","N3KSAA",115,"PDX","ORD",203,1739,14,52
"248",2014,1,2,1455,0,1706,-5,"AS","N536AS",570,"PDX","LAX",112,834,14,55
"249",2014,1,2,1505,55,1644,49,"WN","N281WN",3255,"PDX","SJC",86,569,15,5
"250",2014,1,2,1509,-6,2008,-23,"DL","N946DN",2430,"PDX","MSP",165,1426,15,9
"251",2014,1,2,1514,-1,1832,-13,"US","N667AW",500,"PDX","PHX",127,1009,15,14
"252",2014,1,2,1520,25,1835,15,"WN","N480WN",735,"PDX","DEN",122,991,15,20
"253",2014,1,2,1520,-10,1558,-14,"OO","N585SW",5331,"PDX","RDM",26,116,15,20
"254",2014,1,2,1530,40,1845,35,"F9","N216FR",792,"PDX","DEN",120,991,15,30
"255",2014,1,2,1533,-2,2126,16,"AA","N4XMAA",157,"PDX","DFW",193,1616,15,33
"256",2014,1,2,1534,7,1711,-2,"UA","N839UA",468,"PDX","SFO",84,550,15,34
"257",2014,1,2,1546,-4,1759,-6,"AS","N611AS",592,"PDX","SNA",119,859,15,46
"258",2014,1,2,1557,7,1815,9,"AS","N794AS",588,"PDX","PSP",119,873,15,57
"259",2014,1,2,1609,0,1710,8,"OO","N294SW",5404,"PDX","SEA",43,129,16,9
"260",2014,1,2,1622,-8,1804,-5,"AS","N619AS",402,"PDX","SJC",89,569,16,22
"261",2014,1,2,1622,-3,1825,-10,"OO","N223AG",3462,"PDX","ONT",108,838,16,22
"262",2014,1,2,1633,23,1826,11,"WN","N748SW",750,"PDX","LAS",100,763,16,33
"263",2014,1,2,1634,-4,1911,-9,"DL","N323NB",1194,"PDX","SLC",83,630,16,34
"264",2014,1,2,1643,84,2003,77,"UA","N18243",1051,"PDX","DEN",118,991,16,43
"265",2014,1,2,1645,20,1845,10,"OO","N216AG",3494,"PDX","SBA",101,784,16,45
"266",2014,1,2,1658,48,1931,41,"WN","N294WN",20,"PDX","SLC",81,630,16,58
"267",2014,1,2,1715,-5,1928,-10,"OO","N692CA",4684,"PDX","LAX",110,834,17,15
"268",2014,1,2,1735,-1,1830,1,"OO","N229SW",5417,"PDX","SEA",39,129,17,35
"269",2014,1,2,1739,-6,1950,-11,"AS","N779AS",562,"PDX","LAX",112,834,17,39
"270",2014,1,2,1741,-4,1946,-5,"OO","N218AG",3488,"PDX","BUR",108,817,17,41
"271",2014,1,2,1742,-6,1920,-20,"OO","N905SW",5553,"PDX","SFO",84,550,17,42
"272",2014,1,2,1754,-6,2111,-19,"US","N664AW",577,"PDX","PHX",127,1009,17,54
"273",2014,1,2,1756,-4,1934,-11,"VX","N528VA",813,"PDX","SFO",83,550,17,56
"274",2014,1,2,1756,61,1916,56,"WN","N659SW",747,"PDX","SMF",69,479,17,56
"275",2014,1,2,1806,0,2123,-10,"UA","N577UA",550,"PDX","DEN",120,991,18,6
"276",2014,1,2,1819,-5,2028,-11,"B6","N554JB",1621,"PDX","LGB",112,846,18,19
"277",2014,1,2,1821,-4,2057,-12,"DL","N337NB",952,"PDX","SLC",82,630,18,21
"278",2014,1,2,1831,-9,2225,-30,"AS","N586AS",863,"PDX","OGG",339,2562,18,31
"279",2014,1,2,1836,41,1943,28,"WN","N963WN",102,"PDX","RNO",58,444,18,36
"280",2014,1,2,1842,-13,2038,-16,"AS","N644AS",620,"PDX","LAS",102,763,18,42
"281",2014,1,2,1849,19,2021,11,"WN","N950WN",3963,"PDX","OAK",78,543,18,49
